Czas[s]	Masa[g]
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.800
.3f	15.000
.3f	38.950
.3f	75.250
.3f	117.350
.3f	142.000
.3f	149.800
.3f	156.900
.3f	157.850
.3f	139.450
.3f	121.950
.3f	117.850
.3f	127.350
.3f	149.900
.3f	161.200
.3f	155.900
.3f	145.600
.3f	138.850
.3f	129.950
.3f	107.250
.3f	91.750
.3f	94.300
.3f	96.900
.3f	99.700
.3f	103.150
.3f	95.700
.3f	68.400
.3f	28.350
.3f	3.800
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.200
.3f	5.550
.3f	25.850
.3f	62.650
.3f	97.100
.3f	108.700
.3f	112.850
.3f	108.900
.3f	95.800
.3f	96.150
.3f	98.900
.3f	100.750
.3f	109.400
.3f	115.250
.3f	95.350
.3f	44.200
.3f	6.650
.3f	0.400
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.450
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
.3f	0.500
