Czas	Masa[g]
2026-01-13 08:40:24.945535	0.000
2026-01-13 08:40:25.040679	0.000
2026-01-13 08:40:25.163859	0.000
2026-01-13 08:40:25.225524	0.000
2026-01-13 08:40:25.354604	0.000
2026-01-13 08:40:25.411220	0.000
2026-01-13 08:40:25.535245	0.000
2026-01-13 08:40:25.597541	0.000
2026-01-13 08:40:25.721176	0.000
2026-01-13 08:40:25.793193	0.000
2026-01-13 08:40:25.854237	0.000
2026-01-13 08:40:25.977864	0.000
2026-01-13 08:40:26.040177	0.000
2026-01-13 08:40:26.163217	0.000
2026-01-13 08:40:26.225034	0.000
2026-01-13 08:40:26.348750	0.000
2026-01-13 08:40:26.410206	0.000
2026-01-13 08:40:26.534609	0.000
2026-01-13 08:40:26.596775	0.000
2026-01-13 08:40:26.730931	0.000
2026-01-13 08:40:26.783776	0.000
2026-01-13 08:40:26.850170	0.000
2026-01-13 08:40:26.984064	0.000
2026-01-13 08:40:27.034031	0.000
2026-01-13 08:40:27.167560	0.000
2026-01-13 08:40:27.234149	0.000
2026-01-13 08:40:27.352154	0.000
2026-01-13 08:40:27.417795	0.000
2026-01-13 08:40:27.484525	0.000
2026-01-13 08:40:27.617668	0.000
2026-01-13 08:40:27.685635	0.000
2026-01-13 08:40:27.798958	0.000
2026-01-13 08:40:27.881423	0.000
2026-01-13 08:40:27.932748	0.000
2026-01-13 08:40:28.056829	0.000
2026-01-13 08:40:28.119218	0.000
2026-01-13 08:40:28.243807	0.000
2026-01-13 08:40:28.306271	0.000
2026-01-13 08:40:28.430737	0.000
2026-01-13 08:40:28.492932	0.000
2026-01-13 08:40:28.554866	0.000
2026-01-13 08:40:28.709252	0.000
2026-01-13 08:40:28.740198	0.000
2026-01-13 08:40:28.864587	0.000
2026-01-13 08:40:28.926329	0.000
2026-01-13 08:40:29.050240	0.000
2026-01-13 08:40:29.112720	0.000
2026-01-13 08:40:29.246776	0.000
2026-01-13 08:40:29.308574	0.000
2026-01-13 08:40:29.370671	0.000
2026-01-13 08:40:29.495493	0.000
2026-01-13 08:40:29.557333	0.000
2026-01-13 08:40:29.681747	0.000
2026-01-13 08:40:29.743898	0.000
2026-01-13 08:40:29.867772	0.000
2026-01-13 08:40:29.930337	0.000
2026-01-13 08:40:30.054700	0.000
2026-01-13 08:40:30.116770	0.000
2026-01-13 08:40:30.178869	0.000
2026-01-13 08:40:30.302763	0.000
2026-01-13 08:40:30.365024	0.000
2026-01-13 08:40:30.488838	0.000
2026-01-13 08:40:30.551013	0.000
2026-01-13 08:40:30.674790	0.000
2026-01-13 08:40:30.746844	0.000
2026-01-13 08:40:30.808800	0.000
2026-01-13 08:40:30.932199	0.000
2026-01-13 08:40:30.993270	0.000
2026-01-13 08:40:31.116294	0.000
2026-01-13 08:40:31.178766	0.000
2026-01-13 08:40:31.302985	0.000
2026-01-13 08:40:31.364451	0.000
2026-01-13 08:40:31.487772	0.000
2026-01-13 08:40:31.549771	0.000
2026-01-13 08:40:31.683801	0.000
2026-01-13 08:40:31.745910	0.000
2026-01-13 08:40:31.808093	0.000
2026-01-13 08:40:31.931784	0.000
2026-01-13 08:40:31.993130	0.000
2026-01-13 08:40:32.116774	0.000
2026-01-13 08:40:32.178331	0.000
2026-01-13 08:40:32.302183	0.000
2026-01-13 08:40:32.363397	0.000
2026-01-13 08:40:32.495056	0.000
2026-01-13 08:40:32.557434	0.000
2026-01-13 08:40:32.619804	0.000
2026-01-13 08:40:32.744609	0.000
2026-01-13 08:40:32.806842	0.000
2026-01-13 08:40:32.930721	0.000
2026-01-13 08:40:32.992700	0.000
2026-01-13 08:40:33.116773	0.000
2026-01-13 08:40:33.178900	0.000
2026-01-13 08:40:33.240429	0.000
2026-01-13 08:40:33.364857	0.000
2026-01-13 08:40:33.426830	0.000
2026-01-13 08:40:33.550676	0.000
2026-01-13 08:40:33.612844	0.000
2026-01-13 08:40:33.746273	0.000
2026-01-13 08:40:33.808099	0.000
2026-01-13 08:40:33.879900	0.000
2026-01-13 08:40:33.993258	0.000
2026-01-13 08:40:34.054667	0.000
2026-01-13 08:40:34.178928	0.000
2026-01-13 08:40:34.240677	0.000
2026-01-13 08:40:34.364485	0.000
2026-01-13 08:40:34.426271	0.000
2026-01-13 08:40:34.550259	0.000
2026-01-13 08:40:34.612217	0.000
2026-01-13 08:40:34.746328	0.000
2026-01-13 08:40:34.808726	0.000
2026-01-13 08:40:34.870679	0.000
2026-01-13 08:40:34.994332	0.000
2026-01-13 08:40:35.056271	0.000
2026-01-13 08:40:35.180679	0.000
2026-01-13 08:40:35.242806	0.000
2026-01-13 08:40:35.367772	0.000
2026-01-13 08:40:35.430178	0.000
2026-01-13 08:40:35.492479	0.000
2026-01-13 08:40:35.615886	0.000
2026-01-13 08:40:35.677982	0.000
2026-01-13 08:40:35.802372	0.000
2026-01-13 08:40:35.863712	0.000
2026-01-13 08:40:35.986777	0.000
2026-01-13 08:40:36.058700	0.000
2026-01-13 08:40:36.121178	0.000
2026-01-13 08:40:36.245827	0.000
2026-01-13 08:40:36.307381	0.000
2026-01-13 08:40:36.431685	0.000
2026-01-13 08:40:36.493480	0.000
2026-01-13 08:40:36.617307	0.000
2026-01-13 08:40:36.679553	0.000
2026-01-13 08:40:36.804270	0.000
2026-01-13 08:40:36.886785	0.000
2026-01-13 08:40:36.989698	0.000
2026-01-13 08:40:37.051323	0.000
2026-01-13 08:40:37.113332	0.000
2026-01-13 08:40:37.237891	0.000
2026-01-13 08:40:37.299562	0.000
2026-01-13 08:40:37.434035	0.000
2026-01-13 08:40:37.496337	0.000
2026-01-13 08:40:37.620284	0.000
